Provinsi / Kabupaten / Kota,Rata-Rata Lama Sekolah (Tahun)
,2013
ACEH,9.02
SIMEULUE,8.97
ACEH SINGKIL,7.83
ACEH SELATAN,8.51
ACEH TENGGARA,9.38
ACEH TIMUR,8.58
ACEH TENGAH,9.77
ACEH BARAT,8.81
ACEH BESAR,9.86
PIDIE,8.75
BIREUEN,9.31
ACEH UTARA,9.26
ACEH BARAT DAYA,8.35
GAYO LUES,8.76
ACEH TAMIANG,8.89
NAGAN RAYA,8.4
ACEH JAYA,8.77
BENER MERIAH,8.98
PIDIE JAYA,8.75
KOTA BANDA ACEH,12.27
KOTA SABANG,10.63
KOTA LANGSA,10.6
KOTA LHOKSEUMAWE,10.67
KOTA SUBULUSSALAM,7.66
SUMATERA UTARA,9.13
NIAS,6.47
MANDAILING NATAL,7.99
TAPANULI SELATAN,8.98
TAPANULI TENGAH,8.21
TAPANULI UTARA,9.22
TOBA SAMOSIR,9.89
LABUHAN BATU,8.79
ASAHAN,8.33
SIMALUNGUN,8.82
DAIRI,8.97
KARO,9.6
DELI SERDANG,9.68
LANGKAT,8.82
NIAS SELATAN,6.47
HUMBANG HASUNDUTAN,9.38
PAKPAK BHARAT,8.81
SAMOSIR,9.57
SERDANG BEDAGAI,8.69
BATU BARA,8.03
PADANG LAWAS UTARA,8.97
PADANG LAWAS,8.46
LABUHAN BATU SELATAN,8.63
LABUHAN BATU UTARA,8.71
NIAS UTARA,6.46
NIAS BARAT,6.19
KOTA SIBOLGA,10.08
KOTA TANJUNG BALAI,9.09
KOTA PEMATANG SIANTAR,10.97
KOTA TEBING TINGGI,10.14
KOTA MEDAN,10.9
KOTA BINJAI,10.08
KOTA PADANGSIDIMPUAN,10.37
KOTA GUNUNGSITOLI,8.51
SUMATERA BARAT,8.63
KEPULAUAN MENTAWAI,6.76
PESISIR SELATAN,8.43
SOLOK,8.06
SIJUNJUNG,7.59
TANAH DATAR,8.43
PADANG PARIAMAN,7.47
AGAM,8.63
LIMA PULUH KOTA,8.02
PASAMAN,7.87
SOLOK SELATAN,8.17
DHARMAS RAYA,8.26
PASAMAN BARAT,8.06
KOTA PADANG,10.94
KOTA SOLOK,10.51
KOTA SAWAH LUNTO,9.42
KOTA PADANG PANJANG,10.76
KOTA BUKITTINGGI,10.59
KOTA PAYAKUMBUH,9.91
KOTA PARIAMAN,10.04
RIAU,8.78
KUANTAN SINGINGI,8.17
INDRAGIRI HULU,8.14
INDRAGIRI HILIR,7.66
PELALAWAN,8.37
SIAK,9.16
KAMPAR,8.97
ROKAN HULU,7.96
BENGKALIS,9.22
ROKAN HILIR,7.9
KEPULAUAN MERANTI,7.41
KOTA PEKANBARU,11.42
KOTA DUMAI,9.76
JAMBI,8.32
KERINCI,8.38
MERANGIN,7.69
SAROLANGUN,7.6
BATANG HARI,7.95
MUARO JAMBI,8.21
TANJUNG JABUNG TIMUR,6.53
TANJUNG JABUNG BARAT,7.69
TEBO,7.6
BUNGO,8.2
KOTA JAMBI,10.57
KOTA SUNGAI PENUH,9.69
SUMATERA SELATAN,8.04
OGAN KOMERING ULU,8.51
OGAN KOMERING ILIR,6.83
MUARA ENIM,7.65
LAHAT,8.37
MUSI RAWAS,7.19
MUSI BANYUASIN,7.7
BANYU ASIN,7.09
OGAN KOMERING ULU SELATAN,7.7
OGAN KOMERING ULU TIMUR,7.42
OGAN ILIR,7.62
EMPAT LAWANG,7.69
PENUKAL ABAB LEMATANG ILIR,7.09
MUSI RAWAS UTARA,6.24
KOTA PALEMBANG,10.3
KOTA PRABUMULIH,9.29
KOTA PAGAR ALAM,9.01
KOTA LUBUKLINGGAU,9.44
BENGKULU,8.55
BENGKULU SELATAN,9.05
REJANG LEBONG,8.02
BENGKULU UTARA,8.1
